Iteration,Average Episodic Length,Average Episodic Return,Episodic Return STD,Average Loss
1,130.88,-64.99,46.873271211798446,-0.00381
2,138.67,-65.38,48.044396870424876,-0.0044
3,120.78,-76.39,45.47607941617436,-0.00092
4,150.14,-52.25,47.161529383740564,-0.00265
5,146.64,-51.14,48.51636697948292,-0.00188
6,149.07,-48.93,47.084277595671196,-0.00054
7,172.17,-36.9,44.87966723341902,-0.00197
8,139.12,-59.67,47.290200738592816,-0.00198
9,142.13,-53.76,45.1811877441002,-0.00085
10,172.0,-44.8,46.96863371833422,-0.00162
11,156.36,-47.07,46.87996144417546,-0.00324
12,171.69,-35.68,39.20149516725343,-0.00071
13,200.0,-12.64,3.0840473235408132,-0.00196
14,174.92,-34.84,40.160707603867145,-0.00206
15,200.0,-11.57,1.6084777085234814,-0.00318
16,178.08,-27.87,34.08856905509435,-0.0026
17,160.69,-42.73,40.30190344499342,-0.00145
18,137.93,-62.9,46.19479110245859,-0.00277
19,148.86,-55.4,47.69838561328126,-0.00149
20,171.08,-34.09,39.45622666737753,-0.00231
21,188.36,-20.4,25.98627610662349,-0.00064
22,177.75,-30.18,34.674360313079944,-0.00228
23,172.23,-35.9,40.610932495909005,-0.00139
24,147.86,-51.34,45.04416326773096,-0.00265
25,186.18,-20.46,27.35582356287433,-0.00271
26,178.17,-30.98,37.943752953703836,-0.0019
27,200.0,-13.71,3.5706854296178108,-0.00264
28,169.23,-35.92,39.560027353987195,-0.00231
29,170.54,-37.66,41.591868866042226,-0.00345
30,172.0,-36.04,39.06136741271351,-0.00386
31,180.33,-30.54,35.8763946614611,-0.00345
32,200.0,-13.75,2.7650715049645855,-0.00212
33,200.0,-14.24,2.408142306419667,-0.00215
34,171.62,-38.05,41.95650304264312,-0.0026
35,188.73,-23.11,27.424461292164132,-0.00385
36,188.91,-22.25,27.63251142445837,-0.00253
37,193.73,-25.11,27.086790818794288,-0.00082
38,178.08,-33.36,38.55634173532451,-0.00563
39,188.45,-23.05,28.21109183618812,-0.00257
40,200.0,-14.75,3.5702757797017544,-0.0033
41,200.0,-13.66,2.5351142898908177,-0.00249
42,179.83,-32.81,38.80874007227878,-0.00352
43,200.0,-13.15,2.856016277366238,-0.00185
44,200.0,-13.6,2.574666193928891,-0.00072
45,200.0,-14.29,1.5844482353712137,-0.00163
46,188.36,-20.63,27.080054863399557,-0.00224
47,192.64,-25.89,29.479126914652905,-0.00488
48,200.0,-14.81,3.5288696756894007,-0.00387
49,200.0,-13.99,3.4775884568819864,-0.00067
50,180.33,-28.98,39.46903692647832,-0.00171
51,186.64,-21.67,30.126266202476998,-0.00239
52,200.0,-11.18,3.7784695977893987,-0.00257
53,173.58,-37.35,43.077246547380454,-0.00218
54,200.0,-10.64,3.5754372447252027,-0.00072
55,197.73,-21.62,31.61372338131514,-0.00443
56,191.18,-22.35,31.392974691789497,-0.0036
57,200.0,-14.12,2.994847064045914,-0.00196
58,200.0,-11.76,1.7519699319099462,-0.00112
59,200.0,-13.79,2.4163745074005907,-0.00226
60,200.0,-12.14,1.6101692429497736,-0.00274
61,200.0,-13.06,3.1911763486604126,-0.0022
62,200.0,-13.73,2.334370286900313,-0.00129
63,200.0,-14.12,2.2841043552822056,-0.00196
64,200.0,-12.69,2.6680678622693996,-0.00152
65,189.82,-19.06,28.45141287111024,-0.005
66,200.0,-12.75,2.113579183306989,-0.00162
67,187.45,-22.62,30.050657664959925,-0.00319
68,200.0,-13.5,3.5052550830267495,-0.00191
69,200.0,-14.34,3.7606151973074144,-0.00309
70,200.0,-12.11,3.065278709646495,-0.00255
71,191.0,-22.16,27.532356980329077,-0.00446
72,200.0,-10.67,3.1650560659695643,-0.00261
73,200.0,-11.78,4.418852256335514,-0.00392
74,200.0,-10.22,2.6911164036566784,-0.0027
75,188.09,-19.83,32.05541797475513,-0.00361
76,200.0,-9.02,3.502598064694044,-0.00191
77,200.0,-10.49,2.159194165875276,-0.0024
78,200.0,-12.24,3.463527241003619,-0.00213
79,189.64,-21.06,30.423729227170686,-0.00288
80,200.0,-9.92,2.503840641655294,-0.00245
81,200.0,-10.8,3.3023987154885357,-0.00348
82,200.0,-11.38,3.5681079707437497,-0.00324
83,200.0,-9.44,4.064905588411429,-0.00355
84,190.36,-21.36,32.08478677444366,-0.00473
85,191.0,-20.96,28.760057011470995,-0.00287
86,200.0,-11.16,4.99787298108439,-0.00345
87,200.0,-8.49,3.2623375392467326,-0.00212
88,200.0,-9.06,2.9551202379826322,-0.00279
89,200.0,-6.86,2.6427114969574528,-0.00273
90,200.0,-8.56,2.903041980304156,-0.00236
91,200.0,-8.84,3.812182844282036,-0.00284
92,200.0,-7.09,3.017947202523623,-0.00578
93,169.54,-32.6,45.14971691963313,-0.0023
94,200.0,-7.71,3.3366926132939345,-0.00293
95,187.73,-15.91,31.01805593144166,-0.00576
