Iteration,Average Episodic Length,Average Episodic Return,Episodic Return STD,Average Loss
1,200.0,-1338.38,166.43524159123413,-0.00093
2,200.0,-1302.32,286.8476026064099,-0.00128
3,200.0,-1263.51,173.94800746136448,-0.00051
4,200.0,-1208.59,180.16076484564388,-0.00121
5,200.0,-1384.02,264.63634960856615,-0.00098
6,200.0,-1268.44,214.48370487170948,-0.00063
7,200.0,-1202.68,104.90953931531712,-0.00042
8,200.0,-1238.39,255.66980682895993,-0.00033
9,200.0,-1142.36,107.92227340816797,-0.00053
10,200.0,-1263.58,235.69789114017928,-0.00102
11,200.0,-1160.05,159.10373437695003,-0.00118
12,200.0,-1295.34,247.36178938157408,-0.00096
13,200.0,-1223.93,213.0944015643388,-0.00061
14,200.0,-1119.94,162.8463196102291,-0.00057
15,200.0,-1188.76,166.62711403980214,-0.00054
16,200.0,-1231.33,185.39323753574416,-0.00212
17,200.0,-1110.94,103.47427416759028,-0.00113
18,200.0,-1243.49,191.7948018551892,-0.00099
19,200.0,-1244.2,215.63665308037514,-0.0007
20,200.0,-1145.75,190.06141824573356,-0.00219
21,200.0,-1146.7,176.72370354323567,-0.00011
22,200.0,-1197.39,203.69261830622804,-0.0021
23,200.0,-1158.18,201.56165880820166,-0.00066
24,200.0,-1177.07,242.59323767068653,-0.00139
25,200.0,-1200.57,162.76475730261376,-0.0014
26,200.0,-1181.82,181.726676054989,-0.00083
27,200.0,-1102.58,137.85750807384983,-0.00044
28,200.0,-1171.44,150.21380799041373,-0.00052
29,200.0,-1160.42,121.03030366410492,-0.00063
30,200.0,-1140.95,116.59368152585996,-0.00053
31,200.0,-1069.64,127.04563470242164,-0.00087
32,200.0,-1078.12,128.2926399910765,-0.00164
33,200.0,-1114.9,155.63560291655398,-0.00153
34,200.0,-1070.21,123.39059425888424,-0.00128
35,200.0,-1092.3,145.78266247212784,-0.00052
36,200.0,-1159.5,152.86763307256405,-0.00093
37,200.0,-1139.06,130.84978357836715,-0.00058
38,200.0,-1217.68,115.26654799475774,-0.00082
39,200.0,-1114.66,64.88402321537633,-0.00134
40,200.0,-1153.41,61.66485127819941,-0.00068
41,200.0,-1261.27,90.81900510742604,-0.00059
42,200.0,-1168.65,98.40047979854995,-0.00082
43,200.0,-1098.6,76.28601690077407,-0.0007
44,200.0,-1219.08,150.2764881758918,-0.00143
45,200.0,-1197.18,122.53658202906175,-0.00083
46,200.0,-1201.36,146.99797026045965,-0.00106
47,200.0,-1237.49,115.56132104568057,-0.00235
48,200.0,-1163.35,117.33937624133165,-0.00094
49,200.0,-1167.98,104.50302817821552,-0.0008
50,200.0,-1188.73,35.5469257807763,-0.00247
51,200.0,-1127.19,74.8749405725204,-0.00113
52,200.0,-1207.57,107.14447769481967,-0.00065
53,200.0,-1127.91,85.92101805919188,-0.00129
54,200.0,-1187.76,118.04392070756306,-0.00214
55,200.0,-1222.12,84.43199854646336,-0.00101
56,200.0,-1203.2,99.17906563065752,-0.00164
57,200.0,-1119.62,106.13324149105186,-0.00105
58,200.0,-1187.35,165.73404567057224,-0.00098
59,200.0,-1096.46,79.76608533048565,-0.00044
60,200.0,-1066.36,106.37546704213003,-0.00202
61,200.0,-1113.56,53.63079187861404,-0.00156
62,200.0,-1109.7,122.41412337414353,-0.00064
63,200.0,-1078.15,101.25029072608,-0.00103
64,200.0,-1088.23,184.91085030226787,-0.00054
65,200.0,-1028.91,155.9946000316571,-0.00078
66,200.0,-1147.21,138.36340426826584,-0.00062
67,200.0,-1159.35,154.38611585921373,-0.00167
68,200.0,-1151.89,264.9018212772449,-0.00024
69,200.0,-962.77,155.44999642874802,-0.00155
70,200.0,-1031.47,240.03079872660695,-0.00016
71,200.0,-1073.0,193.4252026811933,-0.00137
72,200.0,-1137.9,244.47703283832143,-0.00071
73,200.0,-1021.5,165.33191013315061,-0.00152
74,200.0,-1047.14,162.633731673547,-0.00156
75,200.0,-1085.72,183.49708016555348,-1e-05
76,200.0,-1044.66,164.512922093505,-0.00087
77,200.0,-1086.49,170.3864536847979,-0.00073
78,200.0,-1010.86,242.02040755599668,-0.00212
79,200.0,-1104.79,198.0549962358618,-0.00045
80,200.0,-1152.67,205.4791798648265,-0.00096
81,200.0,-1048.14,239.38038003306607,-0.001
82,200.0,-1060.19,239.88767992599355,-0.00042
83,200.0,-1085.08,200.05952048407028,-0.00084
84,200.0,-929.63,99.84990089674858,-0.00168
85,200.0,-939.49,147.6414951052476,-0.00054
86,200.0,-957.55,141.05004975888147,-0.00161
87,200.0,-1108.07,216.50605452655986,-0.00256
88,200.0,-1041.94,229.953988712042,-0.00059
89,200.0,-1070.24,234.64677612542067,-0.0011
90,200.0,-924.48,171.89269229775562,-0.00052
91,200.0,-1008.14,212.90877553891227,-0.00031
92,200.0,-1064.96,198.6760334017697,-0.00067
93,200.0,-1080.98,192.01202345140237,-0.00091
94,200.0,-1034.25,175.70972955576008,-0.00263
