Iteration,Average Episodic Length,Average Episodic Return,Episodic Return STD,Average Loss
148,200.0,-1200.94,66.48171767105293,-0.0005
149,200.0,-1198.23,66.13090178105328,-0.00093
150,200.0,-1225.02,59.28572321718671,-0.00055
151,200.0,-1202.45,40.26318032906039,-0.00193
152,200.0,-1175.81,81.1536283693143,-0.00091
153,200.0,-1157.59,17.597641762235277,-0.00083
154,200.0,-1137.81,74.22012849982035,-0.00037
155,200.0,-1136.95,80.19824594161355,-0.00186
156,200.0,-1136.73,53.34897042502454,-0.00058
157,200.0,-1116.11,58.521320265881855,-0.00015
158,200.0,-1130.19,133.70532768745647,-0.00089
159,200.0,-1135.34,89.12777531921776,-0.00081
160,200.0,-1098.52,82.18692408568099,-0.00089
161,200.0,-1095.78,73.74666481340238,-0.00061
162,200.0,-1167.07,105.01625577986105,-0.00033
163,200.0,-1111.15,70.5586078821644,-0.00267
164,200.0,-1094.45,47.54775220696245,-0.00129
165,200.0,-1099.02,82.21108242178417,-0.00101
166,200.0,-1115.75,115.558745386988,-0.00128
167,200.0,-1143.63,103.39628782479426,-0.00085
168,200.0,-1038.58,71.89864175683043,-0.00025
169,200.0,-1029.49,54.55577146099403,-0.00137
170,200.0,-1090.5,150.91066098427638,-0.00128
171,200.0,-1024.95,66.76988724627127,-0.00087
172,200.0,-1089.91,133.20807941197523,-0.00085
173,200.0,-1013.98,104.33782248716535,-0.0005
174,200.0,-1020.61,73.01512656644891,-0.00047
175,200.0,-1048.85,96.21421609414928,-0.00183
176,200.0,-1104.33,104.54176744687308,-0.00188
177,200.0,-1123.23,98.75545566053832,-0.00056
178,200.0,-1098.36,96.76682195778852,-0.00276
179,200.0,-1153.4,170.74689220657893,-0.00105
180,200.0,-1137.99,129.6693068111502,-0.00131
181,200.0,-1067.74,67.80794159967242,-0.00208
182,200.0,-1001.5,104.86799200459282,-0.00051
183,200.0,-1056.54,125.63920815787226,-0.00167
184,200.0,-1079.43,143.3975196056086,-0.00131
185,200.0,-1077.83,87.95533378354224,-0.00065
186,200.0,-1058.34,118.15860125407201,-0.00178
187,200.0,-1042.75,53.980089118644415,-0.00108
188,200.0,-965.48,83.84672670066044,-0.00092
189,200.0,-1018.88,144.74708821836674,-0.00141
190,200.0,-1039.88,127.86368769710297,-0.00095
191,200.0,-1007.22,79.4240864309833,-0.00104
192,200.0,-945.74,73.59431153026154,-0.00076
193,200.0,-1002.77,192.4971218171683,-0.0004
194,200.0,-977.33,151.96931964851217,-0.00112
195,200.0,-856.31,130.14210735806546,-0.00144
196,200.0,-935.82,111.4896218987168,-0.00085
197,200.0,-994.2,138.64577805730892,-0.0002
198,200.0,-941.86,119.44133920500816,-0.00096
199,200.0,-969.53,208.9356798221609,-0.00103
200,200.0,-925.5,156.31089017858966,-0.00094
201,200.0,-924.46,176.00561613448258,-0.001
202,200.0,-929.65,126.09993039144109,-0.00205
203,200.0,-927.41,119.85033384811129,-0.00049
204,200.0,-938.83,123.68815677215804,-0.00095
205,200.0,-931.1,178.84915444089057,-0.00137
206,200.0,-913.9,115.9394564172708,-0.00122
207,200.0,-916.12,161.2996888562293,-0.0005
208,200.0,-938.29,90.17283376566806,-0.0017
209,200.0,-908.93,167.97363375128526,-0.00101
210,200.0,-886.29,145.19483031007837,-0.00066
211,200.0,-915.88,149.35098052900574,-0.00104
212,200.0,-937.95,187.98094150267025,-0.00215
213,200.0,-1021.89,170.2022349302617,-0.00111
214,200.0,-972.2,136.53661816189953,-0.00084
215,200.0,-959.91,138.23304431287957,-0.00168
216,200.0,-946.82,177.78352340156428,-0.00109
217,200.0,-890.42,120.63141746269804,-0.00093
218,200.0,-950.4,152.39388473896338,-0.00013
219,200.0,-1051.49,217.05246495781154,-0.00133
220,200.0,-926.35,133.63422671658898,-0.00098
221,200.0,-946.83,155.7238848282333,-0.00121
222,200.0,-932.66,186.05977621340003,-0.00081
223,200.0,-906.39,165.51316012965043,-0.00052
224,200.0,-894.31,114.0274115145606,-0.00056
225,200.0,-878.02,76.52000235697724,-0.00286
