Iteration,Average Episodic Length,Average Episodic Return,Episodic Return STD,Average Loss
1,108.26,-358.16,156.64121717186597,-0.00186
2,103.14,-309.33,182.1688970610261,-0.00337
3,98.67,-285.59,134.33857353057232,-0.00241
4,97.76,-250.68,111.06964840554333,-0.00256
5,108.3,-187.28,123.43099201880112,-0.00128
6,112.26,-215.15,87.25484727864087,-0.00067
7,111.89,-194.86,100.10688266344964,-0.00199
8,104.8,-191.64,99.459437989068,-0.00248
9,93.95,-139.68,72.02628486661912,-0.00102
10,120.06,-131.84,58.68513038987063,-0.00229
11,111.63,-142.12,58.27721159392139,-0.0014
12,104.15,-152.96,87.07637354431128,-0.0005
13,109.89,-99.04,48.85468467594584,-0.00065
14,97.52,-130.42,53.36519504061836,-0.00213
15,106.25,-132.36,61.814914851184234,-0.00127
16,99.0,-120.24,40.56552744617981,-0.00343
17,104.4,-142.7,84.85430775368724,-0.00085
18,100.76,-93.99,40.020518933478684,-0.00143
19,113.26,-85.87,73.99778716664733,-0.00114
20,104.35,-108.67,37.15303054489256,-0.00239
21,116.37,-107.15,58.96355521451512,-0.00105
22,119.33,-107.22,54.6561990154297,-0.00117
23,120.94,-91.82,35.99952914167573,-0.00087
24,136.6,-122.64,76.71732009108162,-0.0038
25,114.67,-77.14,48.367179899861455,-0.00088
26,110.05,-118.53,44.73368637714122,-0.00209
27,116.17,-79.91,54.828421219328575,-0.00317
28,118.0,-82.65,48.16802978524566,-0.00336
29,118.28,-99.94,80.12938778580437,-0.00202
30,144.33,-61.28,62.60158788543927,-0.00171
31,132.25,-66.26,56.29271344048975,-0.00056
32,121.59,-54.87,27.162958973925498,-0.00143
33,132.5,-36.48,38.36786468246116,-0.00308
34,143.0,-27.38,53.52619043083932,-0.00239
35,154.79,-35.29,37.07119684891311,-0.00138
36,163.38,-7.18,58.20976937705475,-0.00226
37,162.08,-17.17,43.87010002872235,-0.00192
38,181.33,18.87,44.69427497875294,-0.00073
39,183.83,31.48,51.3736498508783,-0.00174
40,179.75,0.66,80.56094100244145,-0.00113
41,176.58,29.81,41.512546226689544,-0.00447
42,196.73,16.75,24.868148007330085,-0.00443
43,199.73,-39.1,86.20680438273855,-0.00637
44,198.55,48.43,40.30474242881966,-0.00093
45,186.55,28.92,31.861557505391563,-0.00283
46,200.0,57.9,37.238025999663115,-0.00102
47,192.36,72.77,41.85226504918745,-0.00221
48,188.55,58.49,45.60628010243449,-0.00115
49,188.36,14.89,91.65645450757759,-0.00359
50,200.0,79.56,18.96605269163268,-0.00308
51,187.64,59.06,38.129072773795855,-0.00203
52,183.58,63.65,46.955773180357426,-0.00315
53,200.0,100.72,23.808973254448404,-0.00069
54,200.0,79.43,22.883023995409562,-0.00136
55,189.09,75.42,23.354991950011282,-0.00195
56,192.73,67.59,26.353464712299115,-0.00198
57,200.0,95.07,20.73521802066854,-0.00036
58,195.36,100.34,33.51979503440049,-0.00082
59,200.0,102.55,29.2386385661522,-0.0011
60,200.0,89.46,22.146227642778886,-0.00108
61,195.91,86.37,41.33656514554271,-0.00148
62,184.25,92.22,28.774398508134606,-0.00192
63,200.0,103.75,26.85648577043493,-0.00078
64,187.73,93.9,35.93710142616542,-0.00172
65,200.0,79.76,36.42829760439136,-0.00226
66,200.0,104.72,31.68856973290369,-0.00137
67,200.0,94.06,21.766972847589276,-0.00088
68,193.55,96.57,27.897873729691185,-0.00078
69,200.0,107.55,32.43536049754015,-0.00049
70,195.09,114.27,31.525632697325594,-0.00113
71,191.27,98.96,38.150055858174575,-0.00064
72,187.64,90.86,34.70167486484498,-0.00065
73,191.64,103.93,38.99651643092805,-0.00014
74,200.0,107.33,27.566545328184127,-0.00121
75,190.45,83.67,40.8398647989485,-0.00033
76,200.0,102.14,16.391161419613592,-0.00219
77,200.0,98.18,15.72008250606881,-0.00177
78,193.27,100.07,35.079472123899386,-0.00158
79,200.0,125.73,20.155119706817626,-0.00229
80,200.0,101.97,27.393582581889564,-0.0018
81,200.0,112.78,30.376726665878287,-0.00222
82,194.91,117.07,27.023946614958,-0.00124
83,197.18,120.87,26.539591108034777,-0.00117
84,195.09,108.35,39.35467986701595,-0.00156
85,200.0,129.4,23.56175380808369,-0.00148
86,194.0,118.19,37.74317165670609,-0.00186
87,200.0,124.58,24.57062617869625,-0.0023
88,194.36,123.99,32.43294656994795,-0.00156
89,200.0,111.95,34.21551525464477,-0.00178
90,200.0,130.77,16.536949832386842,-0.00276
91,194.91,113.95,43.28842291698601,-0.00143
92,200.0,113.01,14.4597140747338,-0.00291
93,200.0,112.67,22.201491322660026,-0.00174
94,200.0,123.41,34.37223862892187,-0.0022
95,192.27,103.53,35.13584744869334,-0.00108
96,192.91,111.02,34.18726052016004,-0.0015
97,194.0,124.3,36.51887705962838,-0.00186
98,200.0,138.14,12.115171507510908,-0.00107
99,200.0,134.02,19.714908518801472,-0.00179
100,200.0,117.65,21.25242269146453,-0.00067
101,196.0,107.7,33.69352477051368,-0.00214
102,192.09,112.34,42.31939968810714,-0.00159
103,200.0,134.09,26.75606531908271,-0.00184
104,200.0,127.2,27.481452261510356,-0.0012
105,200.0,131.38,33.533842728147754,-0.00025
106,200.0,121.04,25.800755352112894,-0.00138
107,200.0,140.14,18.628580595510655,-0.00156
108,200.0,123.77,24.59352267358824,-0.00063
109,200.0,133.06,21.313553357151598,-0.00207
110,200.0,134.17,17.220363709973665,-0.00104
111,200.0,127.89,16.627225040784346,-0.00145
112,200.0,142.19,18.844257369218337,-0.00156
113,200.0,133.97,25.074400028292775,-0.00198
114,200.0,119.34,22.33579799393335,-0.00119
115,200.0,114.79,25.579145806107064,-0.00072
116,200.0,120.69,23.133645999851282,-0.00182
117,200.0,121.45,17.48567279400662,-0.0013
118,200.0,134.31,21.352065195185443,-0.00122
119,193.55,117.17,42.35682761160272,-0.00248
120,200.0,132.21,23.756630925519893,-0.00141
121,200.0,108.18,21.28999978650575,-0.0008
122,200.0,125.43,25.443611995722225,-0.00032
123,196.27,103.39,35.08100114938271,-0.00129
124,200.0,116.65,20.540955411490632,-0.00124
